Original,Canonical
"Abheethi Sthvam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Abheeti Stavam"
"Ashta Bhuja Ashtakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Ashtabhuja Ashtakam"
"Bhagawadyana Sopanam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Bhagavad Dhyana Sopanam"
"Bhoo Stuthi - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Bhu Stuti"
"Charanagati Deepika - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Saranagati Deepika"
"Dasavadara Stotram - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Dasavatara Stotram"
"Dayasathakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Daya Satakam"
"Desikaashtakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Desika Ashtakam"
"Desikadinacharya - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Desika Dinacharya"
"Desikamangalasanam - Desika Stotram - Nagai nagai Veeraragavachar (Full Verson)","Desika Mangalasasanam"
"Desikaprabadhi - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Desika Prapatti"
"Desikavigrahadyanam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Desika Vigraha Dhyanam"
"Dhehaleesastuthi - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Dehaleesa Stuti"
"Garudadandakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Garuda Dandakam"
"Ghotha Stuthi - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Goda Stuti"
"Goplavimsadhi - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Gopala Vimsati"
"Hayagriva Stotram - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Hayagriva Stotram"
"Kamakshikaashtakm - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Kamasikha Ashtakam"
"Nyasadasakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Nyasa Dasakam"
"Nyasathilakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Nyasa Tilakam"
"Paramartha Stuti - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Paramartha Stuti"
"Raghuveeragatyam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Raghuveera Gadyam"
"Shodasayudastotram - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Shodasayudha Stotram"
"Sri Yathiraja Sapthathi - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Yatiraja Saptati"
"Sudarsanaashtakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Sudarshana Ashtakam"
"Vagasethu Stotram - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Vegasetu Stotram"
"Vairagya Panchakam - Desika Stotram - Nagai. Veeraraghavachariyar (Full Verson)","Vairagya Panchakam"
